	variance
CES2	0.4540058
STEAP2	0.45369375
PDIA3	0.4536067
CCND1	0.45313516
MARCKSL1	0.45307124
ACTA1	0.45277676
IL32	0.45077193
SPCS1	0.45045096
DEFA5	0.45002216
ELOB	0.44770542
SCGB2A2	0.4464169
CP	0.44094092
LITAF	0.44004324
GPNMB	0.43958396
CTSC	0.43947923
UGT2B17	0.43889788
TCIM	0.43780118
CYP4F8	0.43718195
SGK1	0.43704915
FCN1	0.43684256
TALDO1	0.43641418
PMEPA1	0.4356523
AGR3	0.43458316
PSMA7	0.43418238
LAMP3	0.43396613
F3	0.43310544
PDIA2	0.43190476
HPX	0.4315378
C19orf33	0.43145213
ARID5B	0.43124902
HIST1H1C	0.430746
MITF	0.42960015
EHF	0.42730728
RAMP2	0.42615035
SKP1	0.42613968
PTGIS	0.4257139
MCL1	0.42555106
HEBP2	0.42457643
JUP	0.42436013
SYNPO2	0.4237774
PIK3R1	0.422867
TOB1	0.42155558
PLAC9	0.42114922
GCA	0.42097527
EREG	0.42075422
SMAP2	0.42069098
COMP	0.41746932
LRRK2	0.41726738
LMOD1	0.41431203
GATA3	0.4129813
YWHAE	0.41257042
GMFG	0.41238397
TNFRSF17	0.40989468
DMKN	0.40944827
CCL18	0.4092972
SOD1	0.4077048
DUT	0.407553
LSP1	0.40617436
KTN1	0.4057604
PDIA4	0.4034033
MYC	0.39982152
CYP4B1	0.39941874
FBP1	0.39824486
LRMP	0.3979599
MYH9	0.3975984
RRBP1	0.3964073
CLDN10	0.39422476
POSTN	0.39339095
SMAGP	0.3933249
LRP1	0.39111295
SPCS3	0.39065412
TGFBR2	0.38946223
CEACAM5	0.3891788
GJB2	0.38862064
HNRNPC	0.3870553
AC011462.1	0.3849501
TRIM29	0.38324833
ELN	0.38175827
LMAN1	0.3811184
PDLIM1	0.37991703
NDUFB2	0.3780929
VTN	0.37586665
MS4A7	0.3757728
CALB2	0.37519535
KLK11	0.37503728
TGM2	0.3749493
EIF3E	0.37476212
S100A1	0.37471822
PSMB1	0.37356496
APP	0.3729127
SSR2	0.37254208
KLF9	0.37190795
RNASET2	0.37164667
CCL5	0.37130266
SLC22A11	0.3711004
RPN2	0.37067646
CIRBP	0.37064326
RIPOR2	0.37036002
AKR1C3	0.36815727
CD37	0.36514813
KDELR2	0.36418676
SPRY1	0.36325163
PGAM1	0.36243597
SLC2A3	0.35946777
UBL5	0.35942122
TCF4	0.35914725
LRRFIP1	0.35863614
NID1	0.35635796
S100A13	0.3563105
HNRNPAB	0.3562365
QKI	0.3542959
RBM3	0.353909
GHRL	0.35371763
ALDH1A3	0.35309154
PTGES	0.3527354
GNAI2	0.35273236
SCG3	0.35186315
MUC4	0.3514783
ARPC5	0.35105592
COPE	0.3503631
RHOBTB3	0.34949702
CFLAR	0.34937438
FAM3D	0.34902057
MORF4L2	0.34898987
SFRP1	0.34886357
SRM	0.34817556
PRELID1	0.34794754
GSTO1	0.34781837
UBE2J1	0.34694782
PRDX4	0.34690738
ASAH1	0.34529468
NDUFS6	0.3450878
EIF5A	0.34458363
VWF	0.3443653
MORN2	0.34389907
REL	0.34350196
GSTM3	0.3428904
PHPT1	0.34247348
ADH1C	0.34136835
ATP5F1C	0.34031844
TNFAIP2	0.3387744
TKT	0.33851358
MUC16	0.33640313
SMIM22	0.33351508
A2ML1	0.33332548
PGK1	0.33268082
CLTA	0.33263615
PAEP	0.329911
ITGA5	0.32988623
UQCR11	0.32945943
CAPG	0.329376
DERL3	0.32849887
SORBS2	0.3283213
MORF4L1	0.3273121
CDC42EP5	0.32729703
ECHS1	0.32566726
HSPH1	0.32475543
ATP6V0E1	0.32432002
NDUFA1	0.32365367
H2AFY	0.32311323
ISG15	0.3230447
PPA1	0.321931
MPO	0.32169104
ITM2A	0.3215325
SRSF5	0.32147825
ATP6V1G1	0.32144278
BTG3	0.32071745
NAA38	0.3204939
GC	0.31877288
FOLR1	0.3180938
MAFF	0.31782943
KLF4	0.31765822
ZFAND5	0.31671807
VCL	0.31559074
EIF3K	0.3152515
POMP	0.31510338
SRSF3	0.31508988
F13A1	0.3150662
DCXR	0.31200838
RND3	0.3105587
BLVRB	0.31055227
FOLH1	0.30996278
DDX17	0.3095481
SFRP2	0.30840495
BCL2A1	0.3082872
