	gene
ZDHHC11B	ZDHHC11B
SNU13	SNU13
NAGA	NAGA
HSDL1	HSDL1
CD22	CD22
ZNF107	ZNF107
GRHL2	GRHL2
SIMC1	SIMC1
MRPS33	MRPS33
RASA4B	RASA4B
MARCH7	MARCH7
RGS18	RGS18
ABHD17A	ABHD17A
UBE2L6	UBE2L6
TIPARP	TIPARP
CLPB	CLPB
PUS7	PUS7
CD1D	CD1D
AKAP14	AKAP14
NEXN	NEXN
ZNF611	ZNF611
GALK1	GALK1
PYCR1	PYCR1
ZNF560	ZNF560
WNT3	WNT3
TMEM59L	TMEM59L
RPS17	RPS17
PPM1E	PPM1E
WDR35	WDR35
TNS1	TNS1
GOLGB1	GOLGB1
ERC1	ERC1
MRPS6	MRPS6
GRK5	GRK5
TPRG1	TPRG1
SUCNR1	SUCNR1
KCNU1	KCNU1
ADAM21	ADAM21
FAM111B	FAM111B
CCDC62	CCDC62
CAMK1D	CAMK1D
SPRR2F	SPRR2F
ZNF446	ZNF446
GGCT	GGCT
WIF1	WIF1
RAB3A	RAB3A
PKM	PKM
CASP9	CASP9
ZNF782	ZNF782
POLN	POLN
TCAF2C	TCAF2C
E2F7	E2F7
NDFIP2	NDFIP2
PSG4	PSG4
ARSE	ARSE
GUCA1B	GUCA1B
NDRG3	NDRG3
MKLN1	MKLN1
BRICD5	BRICD5
SEC14L5	SEC14L5
SUPT4H1	SUPT4H1
SECISBP2	SECISBP2
BHLHE41	BHLHE41
ALDH3A1	ALDH3A1
ATP1A3	ATP1A3
DONSON	DONSON
OSR2	OSR2
ARHGAP15	ARHGAP15
SENP6	SENP6
ZNF30	ZNF30
MRPL27	MRPL27
A4GALT	A4GALT
CHIT1	CHIT1
GET4	GET4
CDK20	CDK20
PTTG2	PTTG2
RBM33	RBM33
ZDHHC11	ZDHHC11
GTF2H3	GTF2H3
P3H4	P3H4
CDC37	CDC37
CLBA1	CLBA1
TNNI3K	TNNI3K
HEXIM2	HEXIM2
CD109	CD109
KPNA7	KPNA7
CAPN15	CAPN15
ARHGAP25	ARHGAP25
FAM222B	FAM222B
DOCK10	DOCK10
ROM1	ROM1
ESD	ESD
CRTC2	CRTC2
RPH3A	RPH3A
ZNF624	ZNF624
CLDN15	CLDN15
MTF1	MTF1
PLEKHB1	PLEKHB1
RTF2	RTF2
TEX35	TEX35
ZW10	ZW10
IVD	IVD
VPS33A	VPS33A
NIT2	NIT2
CETP	CETP
GJB3	GJB3
RGS13	RGS13
FAM131B	FAM131B
ELFN1	ELFN1
ZNF14	ZNF14
TUSC2	TUSC2
MATK	MATK
INPP5J	INPP5J
NALCN	NALCN
IFNLR1	IFNLR1
PGAM5	PGAM5
RAB11B	RAB11B
ADCK1	ADCK1
DNAL4	DNAL4
NOB1	NOB1
ME2	ME2
SRBD1	SRBD1
GPRC5A	GPRC5A
TRRAP	TRRAP
AMPD1	AMPD1
AC093323.1	AC093323.1
NDRG1	NDRG1
PCNA	PCNA
ATP5PB	ATP5PB
RRP1	RRP1
GPRIN1	GPRIN1
SLAMF9	SLAMF9
RAB3IP	RAB3IP
MT-ND2	MT-ND2
SPATA3	SPATA3
RBM12B	RBM12B
CRLF3	CRLF3
ZFAND4	ZFAND4
MS4A14	MS4A14
PWWP2B	PWWP2B
UNG	UNG
KDM5C	KDM5C
PZP	PZP
ZDHHC13	ZDHHC13
ADAMTSL3	ADAMTSL3
PGRMC1	PGRMC1
INSL4	INSL4
CASTOR3	CASTOR3
PCDHA2	PCDHA2
C8G	C8G
KBTBD4	KBTBD4
MAGOH	MAGOH
LRRC26	LRRC26
PLK2	PLK2
SFXN1	SFXN1
RELL2	RELL2
PPM1G	PPM1G
C17orf99	C17orf99
SEC14L1	SEC14L1
ORMDL1	ORMDL1
PROK2	PROK2
EIF4E1B	EIF4E1B
TMED2	TMED2
WDTC1	WDTC1
RNF128	RNF128
OSBPL2	OSBPL2
HOXA11	HOXA11
RPL3L	RPL3L
CAPZA3	CAPZA3
PPP2R5D	PPP2R5D
BCORL1	BCORL1
TNFRSF13B	TNFRSF13B
TMEM135	TMEM135
SLC38A3	SLC38A3
GMEB2	GMEB2
IGF2R	IGF2R
ZFYVE19	ZFYVE19
YPEL2	YPEL2
CDK2AP2	CDK2AP2
EQTN	EQTN
CCT5	CCT5
SAXO1	SAXO1
HARS2	HARS2
PIK3R4	PIK3R4
PDPK1	PDPK1
NSMAF	NSMAF
KIAA0895	KIAA0895
DDX60	DDX60
TRMT10A	TRMT10A
MCL1	MCL1
GNB2	GNB2
SSC4D	SSC4D
ARC	ARC
RDH5	RDH5
HES1	HES1
ZNF546	ZNF546
MRPS30	MRPS30
TEX38	TEX38
CST5	CST5
IFFO1	IFFO1
WWC3	WWC3
SUGCT	SUGCT
LGALS9	LGALS9
ZNF497	ZNF497
CCDC144A	CCDC144A
ELN	ELN
ERFE	ERFE
MED12L	MED12L
CMSS1	CMSS1
IRF1	IRF1
TKTL2	TKTL2
APIP	APIP
UBE2D4	UBE2D4
ZNF648	ZNF648
C19orf18	C19orf18
CTDSP2	CTDSP2
RNASE6	RNASE6
CRISPLD1	CRISPLD1
CHURC1-FNTB	CHURC1-FNTB
ACAD9	ACAD9
ABTB2	ABTB2
SMOX	SMOX
GATA4	GATA4
LAMTOR1	LAMTOR1
CCDC80	CCDC80
ZNF157	ZNF157
DUSP16	DUSP16
HIF3A	HIF3A
ANKRD29	ANKRD29
RGS5	RGS5
EFNA1	EFNA1
ZNF3	ZNF3
HMG20A	HMG20A
HPS5	HPS5
RPP40	RPP40
GDF15	GDF15
LRRC18	LRRC18
CCDC150	CCDC150
EBF2	EBF2
GPD1L	GPD1L
AC096582.3	AC096582.3
DDIAS	DDIAS
NLK	NLK
PRSS16	PRSS16
FXYD3	FXYD3
UHRF1	UHRF1
KLHDC8A	KLHDC8A
RBFA	RBFA
SPATA32	SPATA32
METTL24	METTL24
NHSL2	NHSL2
PLGRKT	PLGRKT
BLM	BLM
DNAJC5B	DNAJC5B
NOL11	NOL11
CDC25A	CDC25A
PDE7B	PDE7B
ATAD5	ATAD5
NFRKB	NFRKB
HDAC8	HDAC8
SURF4	SURF4
TGFA	TGFA
POTEE	POTEE
FAM160B1	FAM160B1
THUMPD2	THUMPD2
PTK6	PTK6
ACSBG1	ACSBG1
SESTD1	SESTD1
PCSK6	PCSK6
KRTAP2-2	KRTAP2-2
DMAP1	DMAP1
FUT9	FUT9
CYTIP	CYTIP
MXRA5	MXRA5
CEP85	CEP85
TMTC1	TMTC1
PHLDB2	PHLDB2
SRRM2	SRRM2
PSMB8	PSMB8
ZNF316	ZNF316
FAM71E1	FAM71E1
WARS2	WARS2
DRAM1	DRAM1
OLFML1	OLFML1
TCF7L1	TCF7L1
ANGEL1	ANGEL1
LTK	LTK
SDSL	SDSL
C2orf66	C2orf66
DIO1	DIO1
C3orf20	C3orf20
CHCHD7	CHCHD7
GCC1	GCC1
NGDN	NGDN
PINLYP	PINLYP
FKTN	FKTN
COX7A2	COX7A2
MRE11	MRE11
ADSS	ADSS
ZNF165	ZNF165
CSNK1A1L	CSNK1A1L
UBA52	UBA52
RAVER1	RAVER1
STON1	STON1
LMNTD2	LMNTD2
TCTEX1D2	TCTEX1D2
HUWE1	HUWE1
WDR72	WDR72
KIT	KIT
GON4L	GON4L
CYP2J2	CYP2J2
PSMD13	PSMD13
PLIN1	PLIN1
TPH1	TPH1
TMEM44	TMEM44
MT3	MT3
KMO	KMO
CACNG6	CACNG6
RCN1	RCN1
TAOK1	TAOK1
PSENEN	PSENEN
KDM6B	KDM6B
TMEM183A	TMEM183A
RPL39L	RPL39L
POC1A	POC1A
SERPINB9	SERPINB9
CCHCR1	CCHCR1
CCNL1	CCNL1
WNT7A	WNT7A
TUBG1	TUBG1
HPGDS	HPGDS
PPP1R1C	PPP1R1C
SLC9A7	SLC9A7
TLR10	TLR10
PTX3	PTX3
OLR1	OLR1
FDXR	FDXR
JPT2	JPT2
DUSP19	DUSP19
PLS1	PLS1
PRDM6	PRDM6
PLCH2	PLCH2
ENO1	ENO1
CXCL11	CXCL11
EMC2	EMC2
COLGALT1	COLGALT1
SYT11	SYT11
GABRP	GABRP
FER	FER
AKAP8L	AKAP8L
MAP4K4	MAP4K4
SPAG17	SPAG17
ABCA6	ABCA6
MRGPRX3	MRGPRX3
ANKRD34A	ANKRD34A
SFRP5	SFRP5
ZNF578	ZNF578
SGK3	SGK3
PRSS38	PRSS38
KCNS2	KCNS2
VTA1	VTA1
CD9	CD9
COBL	COBL
APRT	APRT
MVB12B	MVB12B
GPR137B	GPR137B
UBE2S	UBE2S
RGS12	RGS12
PLD5	PLD5
DLL4	DLL4
FAM177A1	FAM177A1
HCLS1	HCLS1
MYBL2	MYBL2
SDE2	SDE2
IGF2	IGF2
PDCD2L	PDCD2L
H2AFZ	H2AFZ
HOXD11	HOXD11
GDPGP1	GDPGP1
CNTFR	CNTFR
TMEM72	TMEM72
MEX3D	MEX3D
OXNAD1	OXNAD1
ARAF	ARAF
MARCH9	MARCH9
NCKAP5	NCKAP5
ZNF614	ZNF614
SDHAF3	SDHAF3
MPP7	MPP7
MDM2	MDM2
PWWP2A	PWWP2A
SLC25A30	SLC25A30
RPL10	RPL10
SCRN1	SCRN1
RPL41	RPL41
RCCD1	RCCD1
HTATSF1	HTATSF1
LLGL1	LLGL1
RFXAP	RFXAP
PBK	PBK
METTL9	METTL9
ICOSLG	ICOSLG
SPATA20	SPATA20
MS4A3	MS4A3
HIST1H2AK	HIST1H2AK
NDC80	NDC80
DDTL	DDTL
RAD51	RAD51
CBLL1	CBLL1
CC2D2B	CC2D2B
RNGTT	RNGTT
RNF167	RNF167
SMARCA2	SMARCA2
FAM19A4	FAM19A4
LRRC73	LRRC73
CCDC180	CCDC180
HOXC11	HOXC11
ZNF808	ZNF808
MPV17L2	MPV17L2
LURAP1L	LURAP1L
ENSA	ENSA
CASP1	CASP1
DNAJB5	DNAJB5
REV1	REV1
AGXT2	AGXT2
ZMYM6	ZMYM6
SPTBN5	SPTBN5
TCEAL3	TCEAL3
CNOT11	CNOT11
HNRNPH2	HNRNPH2
PLAC8	PLAC8
C7orf61	C7orf61
ROBO3	ROBO3
TMEM255A	TMEM255A
RNF112	RNF112
LHX6	LHX6
CASC1	CASC1
ZNF385A	ZNF385A
SCAMP2	SCAMP2
NME4	NME4
CES1	CES1
PRX	PRX
ZBTB6	ZBTB6
METTL14	METTL14
WNT11	WNT11
CERS5	CERS5
GIMAP1	GIMAP1
LY6G6C	LY6G6C
S100A16	S100A16
ZNF300	ZNF300
RIPPLY3	RIPPLY3
MYH10	MYH10
KRTAP19-1	KRTAP19-1
PSMD6	PSMD6
ASAH1	ASAH1
LRRC24	LRRC24
IGFL3	IGFL3
CCDC116	CCDC116
ITGB3BP	ITGB3BP
ARHGAP40	ARHGAP40
NDOR1	NDOR1
SETD4	SETD4
MAGED4	MAGED4
MYL6	MYL6
KRTAP5-1	KRTAP5-1
RASGRP4	RASGRP4
GCNT1	GCNT1
GPRASP1	GPRASP1
IRAK2	IRAK2
IL4	IL4
MUC1	MUC1
ZNF45	ZNF45
OPRM1	OPRM1
AIF1L	AIF1L
STX6	STX6
OAZ1	OAZ1
AREG	AREG
ASZ1	ASZ1
ZCCHC14	ZCCHC14
CCDC50	CCDC50
TXK	TXK
FANCG	FANCG
ESYT2	ESYT2
ESYT1	ESYT1
FYN	FYN
PRR34	PRR34
NPAS1	NPAS1
GPC1	GPC1
CAPN7	CAPN7
GYG1	GYG1
PARP6	PARP6
NEUROG3	NEUROG3
CNIH1	CNIH1
SCUBE2	SCUBE2
COL4A1	COL4A1
PBX3	PBX3
GGCX	GGCX
IGSF22	IGSF22
PIDD1	PIDD1
MSLN	MSLN
RCC2	RCC2
NPIPB8	NPIPB8
SSNA1	SSNA1
DMXL1	DMXL1
AUP1	AUP1
CABIN1	CABIN1
NEU3	NEU3
PCDHGA11	PCDHGA11
ST3GAL2	ST3GAL2
ZNF473	ZNF473
TUNAR	TUNAR
RNPC3	RNPC3
TBX20	TBX20
PFKFB3	PFKFB3
GHRH	GHRH
DDX55	DDX55
VPS53	VPS53
C6orf132	C6orf132
TBC1D22A	TBC1D22A
SSTR3	SSTR3
CFAP100	CFAP100
PIGV	PIGV
VWA8	VWA8
PAQR8	PAQR8
QRICH2	QRICH2
KCTD6	KCTD6
SRSF5	SRSF5
SLC19A1	SLC19A1
TPI1	TPI1
NUTM2E	NUTM2E
DDR2	DDR2
CARNMT1	CARNMT1
PLAC1	PLAC1
DLGAP3	DLGAP3
AP2S1	AP2S1
ONECUT2	ONECUT2
LIMS3	LIMS3
SNX2	SNX2
HAO1	HAO1
ALDH1A2	ALDH1A2
CNDP2	CNDP2
EDARADD	EDARADD
MAGEA8	MAGEA8
ZFP2	ZFP2
MC1R	MC1R
SFTPD	SFTPD
GNA15	GNA15
FOSL2	FOSL2
SPDEF	SPDEF
ERO1A	ERO1A
LBHD2	LBHD2
EFHC2	EFHC2
SULT1E1	SULT1E1
PDE3B	PDE3B
EXOC8	EXOC8
RAB6C	RAB6C
BMX	BMX
CFAP298	CFAP298
MRPL42	MRPL42
CAP1	CAP1
UNC93B1	UNC93B1
RGP1	RGP1
VANGL2	VANGL2
PKN1	PKN1
INCENP	INCENP
GPR157	GPR157
APOBEC3B	APOBEC3B
TP53I13	TP53I13
SLC4A3	SLC4A3
GOLGA6L7	GOLGA6L7
SLC12A3	SLC12A3
LTBP2	LTBP2
NR1D1	NR1D1
NBL1	NBL1
RPP25	RPP25
TRIM4	TRIM4
CHD7	CHD7
TMEM18	TMEM18
SPRY2	SPRY2
ZNF780B	ZNF780B
TOGARAM2	TOGARAM2
AP001468.1	AP001468.1
NAV3	NAV3
MTRR	MTRR
PDCL2	PDCL2
PARP11	PARP11
ENTPD6	ENTPD6
SLC39A3	SLC39A3
RNF115	RNF115
ICA1L	ICA1L
IMMP1L	IMMP1L
CD59	CD59
PIH1D1	PIH1D1
C9orf72	C9orf72
AQP6	AQP6
RABL2A	RABL2A
ZNF236	ZNF236
PLA2G2D	PLA2G2D
ZBTB46	ZBTB46
MOB1A	MOB1A
HHLA3	HHLA3
HSPE1	HSPE1
SPDYE3	SPDYE3
HMCN1	HMCN1
KDR	KDR
PLEKHG2	PLEKHG2
TRMT6	TRMT6
ZSCAN12	ZSCAN12
PRAC1	PRAC1
MFAP3L	MFAP3L
SLK	SLK
GLIS2	GLIS2
PTPN14	PTPN14
SLC2A3	SLC2A3
EPS8	EPS8
ARSI	ARSI
SIGLEC9	SIGLEC9
TMEM191C	TMEM191C
UBAC1	UBAC1
ATAD3A	ATAD3A
CCDC163	CCDC163
ALX1	ALX1
FUT1	FUT1
ISYNA1	ISYNA1
RUFY4	RUFY4
POLA2	POLA2
SMC6	SMC6
DHX30	DHX30
UBAP2	UBAP2
SLCO6A1	SLCO6A1
NAV2	NAV2
ZBTB11	ZBTB11
AMBP	AMBP
GRAP2	GRAP2
KCNJ10	KCNJ10
MECR	MECR
FAM122C	FAM122C
MRPL16	MRPL16
C10orf95	C10orf95
CDHR3	CDHR3
MANEAL	MANEAL
GFPT2	GFPT2
TCP10L2	TCP10L2
SYPL1	SYPL1
LRRIQ3	LRRIQ3
IL17B	IL17B
RABL2B	RABL2B
ISOC2	ISOC2
ANAPC4	ANAPC4
JDP2	JDP2
SPOCK3	SPOCK3
FCN2	FCN2
HPGD	HPGD
RSPO4	RSPO4
CNPY2	CNPY2
DEFB1	DEFB1
BLOC1S6	BLOC1S6
CATSPERZ	CATSPERZ
GPR26	GPR26
DEPDC1	DEPDC1
SRRT	SRRT
KCTD11	KCTD11
FOXP2	FOXP2
INO80C	INO80C
CNOT6	CNOT6
FLNB	FLNB
ZNF83	ZNF83
DENND4C	DENND4C
APBA3	APBA3
KIF18A	KIF18A
CTAGE4	CTAGE4
RIPPLY2	RIPPLY2
SUSD2	SUSD2
TLE1	TLE1
RSPH6A	RSPH6A
KNOP1	KNOP1
LDAH	LDAH
DOT1L	DOT1L
COX7B2	COX7B2
TEX26	TEX26
ZNF470	ZNF470
HBEGF	HBEGF
PLA2G5	PLA2G5
CRH	CRH
RS1	RS1
CES2	CES2
PTGDR	PTGDR
GNAT3	GNAT3
INCA1	INCA1
LMOD1	LMOD1
CUL3	CUL3
ZNF626	ZNF626
HTR2C	HTR2C
HECW2	HECW2
ELP2	ELP2
S1PR1	S1PR1
CLUH	CLUH
APEH	APEH
LRRC69	LRRC69
MIS12	MIS12
PRSS36	PRSS36
AP5Z1	AP5Z1
SNX20	SNX20
NUDT14	NUDT14
AGPAT5	AGPAT5
SUN1	SUN1
SPTBN1	SPTBN1
LRRN2	LRRN2
CASP8	CASP8
LZTS3	LZTS3
GPR52	GPR52
MCRS1	MCRS1
PPBP	PPBP
SLC1A1	SLC1A1
AKR1E2	AKR1E2
NPAS2	NPAS2
EFEMP1	EFEMP1
AQP5	AQP5
PPP5D1	PPP5D1
ANGPT2	ANGPT2
MS4A1	MS4A1
NAPA	NAPA
MYCBP	MYCBP
GATM	GATM
KIF11	KIF11
TSHZ3	TSHZ3
TTLL6	TTLL6
HPCAL4	HPCAL4
GSTA5	GSTA5
KCNH7	KCNH7
BASP1	BASP1
FAM151B	FAM151B
LRIF1	LRIF1
ZNF598	ZNF598
VPS36	VPS36
TPM2	TPM2
AMT	AMT
SMC1B	SMC1B
BAP1	BAP1
DPYD	DPYD
TNFRSF10A	TNFRSF10A
COA7	COA7
LRRC8C	LRRC8C
SCFD1	SCFD1
EGR4	EGR4
LAMTOR3	LAMTOR3
ADNP	ADNP
SRSF9	SRSF9
DUS3L	DUS3L
MAT2B	MAT2B
RANBP9	RANBP9
MYCN	MYCN
TMEM67	TMEM67
TADA1	TADA1
ABCB1	ABCB1
OR8G1	OR8G1
PPP1R10	PPP1R10
GPX8	GPX8
ANOS1	ANOS1
SEL1L	SEL1L
CLVS1	CLVS1
ITIH4	ITIH4
POLR2I	POLR2I
CPN1	CPN1
SP140	SP140
RPUSD2	RPUSD2
STC1	STC1
SFT2D3	SFT2D3
ALDH18A1	ALDH18A1
ATPAF1	ATPAF1
CCDC88B	CCDC88B
SLC35E2B	SLC35E2B
DIXDC1	DIXDC1
SPEN	SPEN
UNK	UNK
NPIPB4	NPIPB4
NAT8	NAT8
RFLNA	RFLNA
TAF3	TAF3
CCDC28B	CCDC28B
SLC5A6	SLC5A6
GJB5	GJB5
ROCK1	ROCK1
ADAMTSL5	ADAMTSL5
ATP7A	ATP7A
FAM72A	FAM72A
OPN3	OPN3
TMEM139	TMEM139
TMC7	TMC7
SLC25A43	SLC25A43
SLC25A17	SLC25A17
CEBPE	CEBPE
RIPK4	RIPK4
NPPA	NPPA
KCMF1	KCMF1
TENT5A	TENT5A
IQSEC2	IQSEC2
BTNL9	BTNL9
TIGD7	TIGD7
BICDL2	BICDL2
KIAA1191	KIAA1191
LPAR2	LPAR2
CRLS1	CRLS1
MZT1	MZT1
SMIM5	SMIM5
NUSAP1	NUSAP1
CRIP2	CRIP2
ZNF766	ZNF766
ZNF683	ZNF683
CYP3A5	CYP3A5
TAS2R10	TAS2R10
KCNC3	KCNC3
GUCY1A2	GUCY1A2
NAT14	NAT14
PTPRU	PTPRU
OR11G2	OR11G2
ZNF280D	ZNF280D
PSMB3	PSMB3
TRAF7	TRAF7
SERPING1	SERPING1
ZNF280B	ZNF280B
MAP4	MAP4
HILPDA	HILPDA
SVIP	SVIP
TMEM104	TMEM104
DNM1L	DNM1L
MARC2	MARC2
MSRB1	MSRB1
IPCEF1	IPCEF1
METTL3	METTL3
ZNF554	ZNF554
HS6ST2	HS6ST2
PCDH11X	PCDH11X
ADCY4	ADCY4
CEMIP	CEMIP
USP53	USP53
HDHD5	HDHD5
ARPIN	ARPIN
HPDL	HPDL
ECEL1	ECEL1
COX4I1	COX4I1
TMEM182	TMEM182
PMS2	PMS2
ZSWIM6	ZSWIM6
ZNF292	ZNF292
TADA3	TADA3
PFN1	PFN1
AC004832.3	AC004832.3
CCNG1	CCNG1
NYX	NYX
SMIM9	SMIM9
DUSP7	DUSP7
GCNT3	GCNT3
IPO11	IPO11
ULBP2	ULBP2
DHRS12	DHRS12
FKBP1C	FKBP1C
LMLN2	LMLN2
LINGO4	LINGO4
CDK5R2	CDK5R2
TMEM254	TMEM254
YWHAZ	YWHAZ
CCDC103	CCDC103
DCAF8	DCAF8
ERCC1	ERCC1
PARD6A	PARD6A
SEPT11	SEPT11
FAM3D	FAM3D
CLMP	CLMP
ASCL5	ASCL5
CCDC126	CCDC126
SPATA5	SPATA5
MBD3L1	MBD3L1
PCBP2	PCBP2
RMND5B	RMND5B
PSME1	PSME1
AMMECR1	AMMECR1
SH2B2	SH2B2
RECQL	RECQL
MRPL55	MRPL55
MANBAL	MANBAL
FZD6	FZD6
RBM34	RBM34
CIAO1	CIAO1
FAHD2A	FAHD2A
MCMBP	MCMBP
TEAD2	TEAD2
JCHAIN	JCHAIN
ZNF432	ZNF432
PDCD2	PDCD2
GOLM1	GOLM1
ZNF322	ZNF322
SLC26A11	SLC26A11
ANKRD2	ANKRD2
ALG1	ALG1
ZNF573	ZNF573
ZSWIM8	ZSWIM8
NAA20	NAA20
CYCS	CYCS
AURKAIP1	AURKAIP1
USP43	USP43
RUFY1	RUFY1
C2CD4B	C2CD4B
TMEM132A	TMEM132A
SMIM22	SMIM22
FOXD4L1	FOXD4L1
ARL1	ARL1
NBPF20	NBPF20
MTREX	MTREX
PLXNB2	PLXNB2
TSNARE1	TSNARE1
FAM135A	FAM135A
ERBB2	ERBB2
TSNAX	TSNAX
NAA50	NAA50
HBM	HBM
TMEM25	TMEM25
RRBP1	RRBP1
TMEM209	TMEM209
BCKDHB	BCKDHB
MPHOSPH9	MPHOSPH9
COL22A1	COL22A1
YDJC	YDJC
RNF224	RNF224
NDUFS1	NDUFS1
COG3	COG3
HNRNPA2B1	HNRNPA2B1
ZFP28	ZFP28
AP003062.1	AP003062.1
TTC9	TTC9
NUP155	NUP155
JAK2	JAK2
STPG4	STPG4
C2orf70	C2orf70
CEACAM6	CEACAM6
SIRT2	SIRT2
SHISA2	SHISA2
ZDHHC24	ZDHHC24
NME1-NME2	NME1-NME2
FFAR3	FFAR3
PRKAB1	PRKAB1
IL6	IL6
ADIRF	ADIRF
CTTN	CTTN
APBB3	APBB3
ABI3BP	ABI3BP
OSBP	OSBP
PLCD4	PLCD4
SCGB1A1	SCGB1A1
PUS3	PUS3
SLC29A2	SLC29A2
TSPO	TSPO
ENDOV	ENDOV
TSC22D2	TSC22D2
COPE	COPE
FBXW9	FBXW9
ARHGDIA	ARHGDIA
ADAP1	ADAP1
ZIK1	ZIK1
TNFRSF18	TNFRSF18
KCNN4	KCNN4
GCLC	GCLC
NREP	NREP
DYNC2H1	DYNC2H1
DHX8	DHX8
KRTAP19-5	KRTAP19-5
PRIM1	PRIM1
UMAD1	UMAD1
OTUD3	OTUD3
CCKBR	CCKBR
FBXO45	FBXO45
MCTS1	MCTS1
OR10D3	OR10D3
FBXL17	FBXL17
PRRT3	PRRT3
FAM71E2	FAM71E2
NEIL2	NEIL2
PDE8A	PDE8A
CDHR5	CDHR5
EXOC3L1	EXOC3L1
NPC2	NPC2
OR2T10	OR2T10
TMEM138	TMEM138
OR1L8	OR1L8
ENKD1	ENKD1
JAG2	JAG2
NR1I2	NR1I2
SMARCD3	SMARCD3
PAK3	PAK3
NBPF11	NBPF11
RIT1	RIT1
IFRD2	IFRD2
ZEB2	ZEB2
RECQL5	RECQL5
PCDHGA10	PCDHGA10
P2RX7	P2RX7
RAD51B	RAD51B
PNPLA4	PNPLA4
TRIM59	TRIM59
DAW1	DAW1
CCR1	CCR1
RPS3A	RPS3A
CACFD1	CACFD1
ZNF568	ZNF568
TRAPPC5	TRAPPC5
FOXJ2	FOXJ2
THPO	THPO
PLIN5	PLIN5
PNMA2	PNMA2
HDHD3	HDHD3
HIRIP3	HIRIP3
CTNND2	CTNND2
CABP4	CABP4
MED13	MED13
LRRTM3	LRRTM3
SPATA12	SPATA12
C20orf194	C20orf194
ARHGAP28	ARHGAP28
ATP5F1B	ATP5F1B
VANGL1	VANGL1
PARPBP	PARPBP
NRM	NRM
ERBIN	ERBIN
PXDN	PXDN
DLGAP2	DLGAP2
CCL22	CCL22
LTC4S	LTC4S
ST6GAL2	ST6GAL2
ATXN1L	ATXN1L
KIAA2026	KIAA2026
ASGR2	ASGR2
EIF4ENIF1	EIF4ENIF1
RBMXL1	RBMXL1
EPO	EPO
NAE1	NAE1
LILRA2	LILRA2
RGL2	RGL2
CYP4F11	CYP4F11
SSU72P3	SSU72P3
RPS21	RPS21
USH1G	USH1G
COX11	COX11
FGF19	FGF19
KLRD1	KLRD1
ZEB1	ZEB1
TCEAL2	TCEAL2
DCAF6	DCAF6
NAV1	NAV1
ADRB2	ADRB2
ZBTB45	ZBTB45
GOLGA6L6	GOLGA6L6
DDX39A	DDX39A
ZNF696	ZNF696
SCN4A	SCN4A
BRK1	BRK1
MOCS2	MOCS2
GNB1L	GNB1L
SNX18	SNX18
ZNF74	ZNF74
CCR10	CCR10
ZNF763	ZNF763
AZIN2	AZIN2
DNASE1L1	DNASE1L1
BOLA2-SMG1P6	BOLA2-SMG1P6
GGA2	GGA2
RIOK1	RIOK1
RABL3	RABL3
ZNF789	ZNF789
PBXIP1	PBXIP1
ALOX5	ALOX5
BATF3	BATF3
SREK1IP1	SREK1IP1
ETNPPL	ETNPPL
CCNJL	CCNJL
IRF8	IRF8
FCRLA	FCRLA
HOXA1	HOXA1
CHRNA9	CHRNA9
MARCH5	MARCH5
CREG1	CREG1
NDUFA13	NDUFA13
RBM42	RBM42
PRAME	PRAME
SHROOM2	SHROOM2
LY86	LY86
DHTKD1	DHTKD1
KCNJ5	KCNJ5
RAB40A	RAB40A
MRPL33	MRPL33
TOGARAM1	TOGARAM1
TMEM74B	TMEM74B
RETREG2	RETREG2
INPP5B	INPP5B
ZNF71	ZNF71
NCAPD2	NCAPD2
BTAF1	BTAF1
MIF4GD	MIF4GD
TROAP	TROAP
ALKBH6	ALKBH6
CD93	CD93
DNAI2	DNAI2
ATG4B	ATG4B
TNFSF11	TNFSF11
TREM1	TREM1
AC009065.1	AC009065.1
TRMT10C	TRMT10C
TMED9	TMED9
CCDC122	CCDC122
PCP2	PCP2
RNF39	RNF39
KBTBD12	KBTBD12
CENPC	CENPC
LRRC7	LRRC7
FAM124A	FAM124A
MDGA2	MDGA2
GPER1	GPER1
AMIGO3	AMIGO3
FOXQ1	FOXQ1
RAB27B	RAB27B
SUSD3	SUSD3
CKAP2	CKAP2
CFAP47	CFAP47
GPAT4	GPAT4
AC092718.8	AC092718.8
NETO1	NETO1
POTEH	POTEH
NUDT9	NUDT9
NEURL3	NEURL3
NPIPB5	NPIPB5
DPRX	DPRX
LPAR1	LPAR1
VENTX	VENTX
MST1R	MST1R
CYP2R1	CYP2R1
TAF7L	TAF7L
CSRNP3	CSRNP3
NHSL1	NHSL1
LDLR	LDLR
HRNR	HRNR
BGN	BGN
RUNX2	RUNX2
MYBPC1	MYBPC1
DGKH	DGKH
PM20D1	PM20D1
ATP10D	ATP10D
ZNF443	ZNF443
MAF1	MAF1
NINJ1	NINJ1
BEND3	BEND3
MADD	MADD
LZTR1	LZTR1
PRKDC	PRKDC
UVRAG	UVRAG
RAB39A	RAB39A
ZNF100	ZNF100
ALG11	ALG11
TUBGCP3	TUBGCP3
PRKAR1A	PRKAR1A
PLBD1	PLBD1
RFT1	RFT1
C1orf226	C1orf226
IPP	IPP
RPS7	RPS7
WDR66	WDR66
ITGB1BP2	ITGB1BP2
WASL	WASL
NPRL2	NPRL2
SLC6A19	SLC6A19
HERC1	HERC1
PKIB	PKIB
WDR97	WDR97
ANXA8	ANXA8
