	tsp_mRNA
TOPORS	TOPORS
HERC5	HERC5
KIF19	KIF19
CUEDC1	CUEDC1
RXFP1	RXFP1
FBXO6	FBXO6
PCDHB12	PCDHB12
ZNF709	ZNF709
KLHDC2	KLHDC2
DNAJC28	DNAJC28
OBSL1	OBSL1
URB1	URB1
OR13C9	OR13C9
FAM117A	FAM117A
FAM181B	FAM181B
NIF3L1	NIF3L1
APOC3	APOC3
TSPY3	TSPY3
MCU	MCU
APOBEC3A	APOBEC3A
FNDC7	FNDC7
LDHAL6A	LDHAL6A
NSG2	NSG2
PARP10	PARP10
SBSPON	SBSPON
CDKN2AIP	CDKN2AIP
CENPU	CENPU
C1orf185	C1orf185
HOXA2	HOXA2
ZNF287	ZNF287
SLFN11	SLFN11
SLC9A1	SLC9A1
IFNA21	IFNA21
OR5D3P	OR5D3P
HHATL	HHATL
GNRHR	GNRHR
AC020909.1	AC020909.1
NRXN3	NRXN3
SETD4	SETD4
DYNLRB2	DYNLRB2
UROS	UROS
BRINP2	BRINP2
CD33	CD33
PDCD11	PDCD11
NLRP3	NLRP3
EDN3	EDN3
WDR89	WDR89
OR1L3	OR1L3
TSPAN6	TSPAN6
EPS8L1	EPS8L1
LHFPL1	LHFPL1
ZIC4	ZIC4
RPL31	RPL31
BCAR1	BCAR1
XRCC2	XRCC2
CHKB	CHKB
BCL3	BCL3
CLDN19	CLDN19
TAS2R43	TAS2R43
RMI1	RMI1
TARDBP	TARDBP
SRGAP3	SRGAP3
TMEM254	TMEM254
LZTFL1	LZTFL1
ARGLU1	ARGLU1
TGIF2	TGIF2
LYG1	LYG1
CALY	CALY
DR1	DR1
MSMB	MSMB
KRBA2	KRBA2
PGAM5	PGAM5
ZNF730	ZNF730
CDHR4	CDHR4
RAD51AP1	RAD51AP1
ASL	ASL
AGPAT5	AGPAT5
OPA1	OPA1
RBBP9	RBBP9
PTBP1	PTBP1
TCF25	TCF25
NSD1	NSD1
GPR152	GPR152
MBLAC2	MBLAC2
SPATS2	SPATS2
MAPK11	MAPK11
MTNR1A	MTNR1A
RCAN1	RCAN1
SP140L	SP140L
FAM19A3	FAM19A3
KANSL3	KANSL3
MAP4K5	MAP4K5
ZHX2	ZHX2
PDZRN3	PDZRN3
RTN4R	RTN4R
RASA1	RASA1
SPANXN3	SPANXN3
BRCC3	BRCC3
TPRN	TPRN
CEP162	CEP162
OR4D9	OR4D9
PIP4P2	PIP4P2
PIGQ	PIGQ
PGGHG	PGGHG
DCAF8	DCAF8
ALDH16A1	ALDH16A1
GPCPD1	GPCPD1
MMP12	MMP12
DLGAP2	DLGAP2
PAQR7	PAQR7
CASP3	CASP3
TPGS2	TPGS2
SMAD3	SMAD3
GNA12	GNA12
CCDC65	CCDC65
ZSWIM8	ZSWIM8
AEN	AEN
WDR25	WDR25
GXYLT2	GXYLT2
PKIB	PKIB
C20orf96	C20orf96
SPN	SPN
ZNHIT1	ZNHIT1
GRID2IP	GRID2IP
RPS23	RPS23
THAP10	THAP10
EPHB2	EPHB2
TTI1	TTI1
AL137026.1	AL137026.1
FAM200A	FAM200A
EGF	EGF
MDC1	MDC1
PFDN1	PFDN1
VSX2	VSX2
THOC7	THOC7
SYT11	SYT11
MMP16	MMP16
SNURF	SNURF
SLC9A3	SLC9A3
ZNF878	ZNF878
DACT3	DACT3
FOXD4L4	FOXD4L4
PNMA6E	PNMA6E
TSPYL5	TSPYL5
MAP1LC3C	MAP1LC3C
TMOD1	TMOD1
CLDN20	CLDN20
PDCD4	PDCD4
EXOC1L	EXOC1L
SLC26A3	SLC26A3
EXT1	EXT1
PRKAB2	PRKAB2
KRTAP3-3	KRTAP3-3
PTP4A1	PTP4A1
IL1RAPL1	IL1RAPL1
MKS1	MKS1
KRTAP25-1	KRTAP25-1
CALD1	CALD1
CAPG	CAPG
LY75-CD302	LY75-CD302
HOXC5	HOXC5
COX7B	COX7B
MYH3	MYH3
RSBN1	RSBN1
TSSK4	TSSK4
SUPT20H	SUPT20H
MFGE8	MFGE8
HPX	HPX
KCNH3	KCNH3
FGFRL1	FGFRL1
HORMAD2	HORMAD2
LETMD1	LETMD1
PRLHR	PRLHR
FANCA	FANCA
TRMT61A	TRMT61A
CPD	CPD
IQSEC3	IQSEC3
KRT5	KRT5
GABRG1	GABRG1
ZNF469	ZNF469
MRPS15	MRPS15
HDHD5	HDHD5
PSEN2	PSEN2
GABRA3	GABRA3
SIRPG	SIRPG
PSG11	PSG11
KRTAP27-1	KRTAP27-1
TNNI3	TNNI3
TCERG1L	TCERG1L
CLCN2	CLCN2
AGBL3	AGBL3
OR9I1	OR9I1
INS-IGF2	INS-IGF2
TOMM20	TOMM20
KIR3DL3	KIR3DL3
ALX3	ALX3
ZNF610	ZNF610
KIF20B	KIF20B
TAS2R30	TAS2R30
ACOT13	ACOT13
POMC	POMC
OR10D3	OR10D3
CST1	CST1
RET	RET
AVIL	AVIL
LY6G6F-LY6G6D	LY6G6F-LY6G6D
DCAF12	DCAF12
ACTR6	ACTR6
CCDC115	CCDC115
NIPAL4	NIPAL4
SP6	SP6
ENO1	ENO1
JARID2	JARID2
KIF2B	KIF2B
KCNAB3	KCNAB3
CCNH	CCNH
TCAF1	TCAF1
PANX1	PANX1
ZC3H12C	ZC3H12C
NMD3	NMD3
EFEMP2	EFEMP2
CALHM3	CALHM3
AQP8	AQP8
SLC6A2	SLC6A2
PSMD14	PSMD14
CYTH1	CYTH1
GPR82	GPR82
RETSAT	RETSAT
NCF1	NCF1
CISD1	CISD1
OLFM1	OLFM1
PHF21A	PHF21A
ANO9	ANO9
SATB2	SATB2
TASP1	TASP1
TIMM23	TIMM23
ZFP57	ZFP57
SCGB1D2	SCGB1D2
VPS28	VPS28
ERF	ERF
SNAI2	SNAI2
ADH5	ADH5
RYR2	RYR2
NBAS	NBAS
XYLB	XYLB
AC091959.3	AC091959.3
SAP18	SAP18
CXCR1	CXCR1
PI15	PI15
YWHAH	YWHAH
VASH1	VASH1
NUCB2	NUCB2
HIST1H4H	HIST1H4H
SLC26A7	SLC26A7
IPPK	IPPK
GREM2	GREM2
DDX39B	DDX39B
ST8SIA2	ST8SIA2
FAM43A	FAM43A
PDE4D	PDE4D
TNP1	TNP1
CD207	CD207
EIF3C	EIF3C
HHLA2	HHLA2
TRABD2A	TRABD2A
DIS3	DIS3
GMNC	GMNC
ZNF783	ZNF783
ADAM15	ADAM15
PRSS58	PRSS58
EFCAB1	EFCAB1
GSTM4	GSTM4
OMG	OMG
SCNN1D	SCNN1D
HES3	HES3
AOC3	AOC3
RBM28	RBM28
GNB4	GNB4
IL2RG	IL2RG
MYT1L	MYT1L
SLC3A2	SLC3A2
ROR1	ROR1
SS18	SS18
SMARCA2	SMARCA2
HKDC1	HKDC1
KLHL3	KLHL3
CHRM4	CHRM4
CPE	CPE
CEP63	CEP63
AC092587.1	AC092587.1
MED29	MED29
AC068775.1	AC068775.1
ACVRL1	ACVRL1
SCYGR5	SCYGR5
ZNF414	ZNF414
SLC16A13	SLC16A13
WFDC10A	WFDC10A
ANKFN1	ANKFN1
FAM240A	FAM240A
KIAA2012	KIAA2012
AC096644.1	AC096644.1
IRF3	IRF3
AC073063.1	AC073063.1
BCL2L1	BCL2L1
MAG	MAG
NPIPB6	NPIPB6
GMFB	GMFB
PRAMEF5	PRAMEF5
GINS1	GINS1
ATP5PO	ATP5PO
AL034430.2	AL034430.2
ZNF678	ZNF678
CHERP	CHERP
ZNF354C	ZNF354C
SNX7	SNX7
CSRP1	CSRP1
CSNK1D	CSNK1D
DDX21	DDX21
OR2W3	OR2W3
BFSP1	BFSP1
KDM3B	KDM3B
TXNDC17	TXNDC17
POLG	POLG
GALR1	GALR1
SMIM33	SMIM33
IFI6	IFI6
POLA1	POLA1
PDE4B	PDE4B
SMIM19	SMIM19
MTFR1L	MTFR1L
LSS	LSS
AC093899.2	AC093899.2
REELD1	REELD1
SOSTDC1	SOSTDC1
FRMD4A	FRMD4A
TTC5	TTC5
PANO1	PANO1
PRSS51	PRSS51
RNF187	RNF187
RETREG3	RETREG3
CACNA2D1	CACNA2D1
AQP3	AQP3
KRBOX1	KRBOX1
OR10AD1	OR10AD1
WDR6	WDR6
CBLN3	CBLN3
PPP1R1A	PPP1R1A
CHL1	CHL1
OR10J1	OR10J1
NDEL1	NDEL1
TWF1	TWF1
CLPTM1	CLPTM1
RHBDL1	RHBDL1
AL603832.3	AL603832.3
MIER2	MIER2
CALCOCO2	CALCOCO2
TTC27	TTC27
GDF11	GDF11
SYN2	SYN2
SLC22A9	SLC22A9
AL445989.1	AL445989.1
OR6C1	OR6C1
PAK5	PAK5
FAM181A	FAM181A
DNAH8	DNAH8
LRWD1	LRWD1
NOX1	NOX1
DNM1L	DNM1L
RNF170	RNF170
F11R	F11R
SEPT2	SEPT2
EIF4E3	EIF4E3
IFI44	IFI44
TGFA	TGFA
DNASE1L1	DNASE1L1
TENM3	TENM3
HIST1H2BM	HIST1H2BM
SLC10A6	SLC10A6
HDAC4	HDAC4
LILRB4	LILRB4
FICD	FICD
NUTM2D	NUTM2D
OSBPL8	OSBPL8
AC008878.1	AC008878.1
BAG5	BAG5
RNF214	RNF214
C6orf58	C6orf58
METTL4	METTL4
STRA6	STRA6
UBLCP1	UBLCP1
HIST1H2AA	HIST1H2AA
ZDHHC6	ZDHHC6
UTP15	UTP15
HSD17B10	HSD17B10
EDRF1	EDRF1
ITIH6	ITIH6
COX8A	COX8A
PMS2	PMS2
FUBP3	FUBP3
HSBP1L1	HSBP1L1
EI24	EI24
KLRF2	KLRF2
TMED10	TMED10
FRYL	FRYL
SCNM1	SCNM1
AC108868.1	AC108868.1
SYN3	SYN3
CYSTM1	CYSTM1
FABP1	FABP1
HIST1H1C	HIST1H1C
WIF1	WIF1
TWIST1	TWIST1
CTCF	CTCF
RNF148	RNF148
EGR3	EGR3
CSF3	CSF3
SLC43A1	SLC43A1
ARHGAP1	ARHGAP1
ZNF195	ZNF195
TIAM1	TIAM1
SEPSECS	SEPSECS
DGCR6	DGCR6
SMAP1	SMAP1
INSL3	INSL3
GMCL2	GMCL2
PEX2	PEX2
FGD4	FGD4
KCTD17	KCTD17
EEFSEC	EEFSEC
XRCC4	XRCC4
ZNF557	ZNF557
TSPYL1	TSPYL1
TMEM267	TMEM267
ANKRD29	ANKRD29
CNKSR3	CNKSR3
VAT1L	VAT1L
ZNF676	ZNF676
CLUAP1	CLUAP1
GRIN2D	GRIN2D
GLYAT	GLYAT
RRAGA	RRAGA
SLC15A5	SLC15A5
PPP1R2	PPP1R2
KRTAP9-1	KRTAP9-1
NENF	NENF
PTGDR	PTGDR
AC073333.1	AC073333.1
METTL11B	METTL11B
PHLDB1	PHLDB1
EGFLAM	EGFLAM
THUMPD2	THUMPD2
TYW5	TYW5
UTP11	UTP11
ZBTB8OS	ZBTB8OS
SAAL1	SAAL1
C1orf35	C1orf35
TTF1	TTF1
OR8J3	OR8J3
NEDD8-MDP1	NEDD8-MDP1
RASAL1	RASAL1
C20orf85	C20orf85
PAFAH1B1	PAFAH1B1
TMEM86A	TMEM86A
OGT	OGT
FAM71E1	FAM71E1
EBLN2	EBLN2
NSG1	NSG1
ANKRD34A	ANKRD34A
GJA9	GJA9
APOOL	APOOL
ASPHD2	ASPHD2
MS4A4E	MS4A4E
PTMS	PTMS
GAS1	GAS1
HCAR3	HCAR3
TJP3	TJP3
XCR1	XCR1
ANKRD31	ANKRD31
FUOM	FUOM
ISY1-RAB43	ISY1-RAB43
THBS2	THBS2
SNAP47	SNAP47
RANBP3L	RANBP3L
RIOK2	RIOK2
BCL2	BCL2
TTC3	TTC3
MAT1A	MAT1A
NUP205	NUP205
EXTL1	EXTL1
DTYMK	DTYMK
SPI1	SPI1
LRRC75B	LRRC75B
BRDT	BRDT
RBM6	RBM6
SNX11	SNX11
DACH2	DACH2
SALL4	SALL4
WDYHV1	WDYHV1
CNTNAP3B	CNTNAP3B
SRY	SRY
AC037459.1	AC037459.1
FAM234A	FAM234A
PER3	PER3
GALNT1	GALNT1
MYO1H	MYO1H
SFMBT1	SFMBT1
SF3A3	SF3A3
OR51L1	OR51L1
ZIM3	ZIM3
F2R	F2R
LRRC69	LRRC69
SUPV3L1	SUPV3L1
ADAMTS14	ADAMTS14
BTLA	BTLA
HEPH	HEPH
SPIB	SPIB
KHDRBS3	KHDRBS3
DHDDS	DHDDS
CECR2	CECR2
SRCIN1	SRCIN1
ETS2	ETS2
NDUFS8	NDUFS8
ZMYND15	ZMYND15
TMTC4	TMTC4
ZNF558	ZNF558
HBA2	HBA2
GDPD3	GDPD3
CNR1	CNR1
CLDN17	CLDN17
VARS	VARS
STRIP2	STRIP2
AFAP1L1	AFAP1L1
GEMIN4	GEMIN4
FAM102B	FAM102B
IL20RA	IL20RA
RECQL	RECQL
DCN	DCN
GIMAP1-GIMAP5	GIMAP1-GIMAP5
DNAAF1	DNAAF1
MINDY2	MINDY2
FAM217B	FAM217B
ZFPM2	ZFPM2
C12orf71	C12orf71
GBF1	GBF1
CRYBG3	CRYBG3
KIF20A	KIF20A
RAP2B	RAP2B
TMEM50B	TMEM50B
MYLK4	MYLK4
LRRC37B	LRRC37B
LPAR1	LPAR1
TREX1	TREX1
GRXCR2	GRXCR2
TIRAP	TIRAP
OR11H6	OR11H6
AC093512.2	AC093512.2
MAOA	MAOA
GIMAP2	GIMAP2
SYNPO	SYNPO
HIF1A	HIF1A
JCAD	JCAD
DEFB103A	DEFB103A
OR2M4	OR2M4
SRR	SRR
OR2T27	OR2T27
OR5B17	OR5B17
SIAH1	SIAH1
SYAP1	SYAP1
RS1	RS1
USP17L10	USP17L10
MAPK8IP2	MAPK8IP2
DCPS	DCPS
DNAH10	DNAH10
MIER3	MIER3
GPR151	GPR151
RELL2	RELL2
WDR63	WDR63
LAMA5	LAMA5
EFL1	EFL1
PBX1	PBX1
DUSP12	DUSP12
PKDCC	PKDCC
SUN5	SUN5
S100A12	S100A12
OR51M1	OR51M1
MR1	MR1
TRIM33	TRIM33
AP001468.1	AP001468.1
SETDB1	SETDB1
ZBTB8B	ZBTB8B
OTULINL	OTULINL
MRPS36	MRPS36
PXN	PXN
ATP7A	ATP7A
CGB2	CGB2
GPI	GPI
TMEM26	TMEM26
TBCB	TBCB
BZW2	BZW2
PPP1R42	PPP1R42
LYZL2	LYZL2
TPT1	TPT1
HAT1	HAT1
C1orf122	C1orf122
IGSF8	IGSF8
ZNF212	ZNF212
PSENEN	PSENEN
HK3	HK3
CKLF	CKLF
EPB41L4A	EPB41L4A
BDKRB1	BDKRB1
DUSP15	DUSP15
PI4KA	PI4KA
ZCCHC4	ZCCHC4
SHISAL1	SHISAL1
TRNP1	TRNP1
OR9K2	OR9K2
SCYL2	SCYL2
SMPD1	SMPD1
CHRNA1	CHRNA1
INPP5F	INPP5F
NAF1	NAF1
INAFM2	INAFM2
GRPEL2	GRPEL2
VCAN	VCAN
LIN54	LIN54
ASB4	ASB4
AC069368.1	AC069368.1
TRPV3	TRPV3
LTA	LTA
LDOC1	LDOC1
PDZD2	PDZD2
SNTN	SNTN
TPPP	TPPP
HBG1	HBG1
GRAPL	GRAPL
IZUMO4	IZUMO4
KIAA0753	KIAA0753
ZCRB1	ZCRB1
LRRC52	LRRC52
ERAL1	ERAL1
RHBDF1	RHBDF1
GUCA1B	GUCA1B
SLC16A10	SLC16A10
TCFL5	TCFL5
KRTAP12-4	KRTAP12-4
MMGT1	MMGT1
BET1	BET1
GRPR	GRPR
SNX5	SNX5
LTA4H	LTA4H
MAFA	MAFA
SERPING1	SERPING1
ITGA2B	ITGA2B
ARX	ARX
NELFA	NELFA
TSEN15	TSEN15
FAM57A	FAM57A
ARL10	ARL10
GOLGA6L6	GOLGA6L6
RPL29	RPL29
RNF40	RNF40
TRUB2	TRUB2
PSCA	PSCA
ELP1	ELP1
GALNT15	GALNT15
RALGDS	RALGDS
CCDC122	CCDC122
MARK4	MARK4
DHCR7	DHCR7
EPOP	EPOP
PHLDA3	PHLDA3
EFNB1	EFNB1
TRIP12	TRIP12
ZNF696	ZNF696
ERAP2	ERAP2
LAYN	LAYN
VWA3B	VWA3B
SEC14L3	SEC14L3
AC079354.2	AC079354.2
SLC22A24	SLC22A24
MRPS18B	MRPS18B
CCDC14	CCDC14
CXorf67	CXorf67
MTFP1	MTFP1
PCDH15	PCDH15
WDR24	WDR24
LCT	LCT
HOOK3	HOOK3
ATF6B	ATF6B
ARHGAP11B	ARHGAP11B
DGKK	DGKK
COL20A1	COL20A1
IL18BP	IL18BP
C16orf87	C16orf87
AC087498.1	AC087498.1
NOX5	NOX5
SLC8A1	SLC8A1
SH3BGR	SH3BGR
ADGRB3	ADGRB3
ZCCHC17	ZCCHC17
LRRC7	LRRC7
EXOC4	EXOC4
CCL4	CCL4
CRLF2	CRLF2
DTX2	DTX2
TTLL11	TTLL11
TRERF1	TRERF1
PDCD2L	PDCD2L
NR2C2AP	NR2C2AP
PIGM	PIGM
NOL8	NOL8
TMEM30A	TMEM30A
AC138655.1	AC138655.1
RPP14	RPP14
CTSF	CTSF
NOD1	NOD1
SGK2	SGK2
PADI2	PADI2
DHX15	DHX15
PABPC4	PABPC4
PPEF2	PPEF2
IMPA2	IMPA2
ANKRD62	ANKRD62
AL035425.2	AL035425.2
AC025287.1	AC025287.1
PRXL2A	PRXL2A
ASB15	ASB15
NHEJ1	NHEJ1
ZFHX2	ZFHX2
IHH	IHH
NAT9	NAT9
CTSD	CTSD
MFSD5	MFSD5
COL5A2	COL5A2
ZKSCAN8	ZKSCAN8
ANKRD28	ANKRD28
XKR9	XKR9
NGB	NGB
CGN	CGN
LDHC	LDHC
RAB11A	RAB11A
ZBED3	ZBED3
SERPINB11	SERPINB11
TMEM31	TMEM31
LGALS4	LGALS4
TCF19	TCF19
LDAH	LDAH
SOWAHC	SOWAHC
MSRB3	MSRB3
HIST1H4K	HIST1H4K
CHRD	CHRD
SECTM1	SECTM1
MISP3	MISP3
SLC19A3	SLC19A3
CYC1	CYC1
SLC38A8	SLC38A8
NOTCH3	NOTCH3
IGF2BP3	IGF2BP3
TNP2	TNP2
HADH	HADH
TAP1	TAP1
AL121845.3	AL121845.3
C1QTNF7	C1QTNF7
MARCKS	MARCKS
EIF2B4	EIF2B4
ENO2	ENO2
WRAP53	WRAP53
C1QTNF9B	C1QTNF9B
CORO7-PAM16	CORO7-PAM16
FSD1L	FSD1L
CFAP36	CFAP36
KLRC3	KLRC3
PADI6	PADI6
UCHL3	UCHL3
MOGAT2	MOGAT2
MX1	MX1
DUSP21	DUSP21
NDUFS5	NDUFS5
MAMDC4	MAMDC4
E2F4	E2F4
TFEB	TFEB
B3GNT2	B3GNT2
GPR176	GPR176
UNCX	UNCX
LDLR	LDLR
KRTAP26-1	KRTAP26-1
C22orf23	C22orf23
LDLRAP1	LDLRAP1
STC2	STC2
TBATA	TBATA
CRHR2	CRHR2
POU3F2	POU3F2
ASZ1	ASZ1
TMC7	TMC7
STARD5	STARD5
STXBP6	STXBP6
HS6ST1	HS6ST1
CORO1C	CORO1C
CROCC2	CROCC2
TMEM91	TMEM91
ESD	ESD
AC009163.4	AC009163.4
MTERF3	MTERF3
SCAMP2	SCAMP2
KLHL17	KLHL17
IFT74	IFT74
RIMBP3C	RIMBP3C
FP565260.6	FP565260.6
ADAMTS4	ADAMTS4
MYOM2	MYOM2
ZNF84	ZNF84
TGM6	TGM6
LINC00672	LINC00672
LIG4	LIG4
SPATS1	SPATS1
ACTR3C	ACTR3C
ASB3	ASB3
PABPC1L2B	PABPC1L2B
ARMC6	ARMC6
LDLRAD3	LDLRAD3
NDUFB7	NDUFB7
TMF1	TMF1
CDC42EP1	CDC42EP1
C4B	C4B
TSG101	TSG101
PSMB10	PSMB10
PKN3	PKN3
CITED1	CITED1
NPIPA8	NPIPA8
STMN4	STMN4
BBS12	BBS12
P2RX3	P2RX3
ALOX12	ALOX12
EIF2S1	EIF2S1
DHRS4	DHRS4
DOCK2	DOCK2
C14orf178	C14orf178
TPP1	TPP1
TMEM98	TMEM98
VPS13A	VPS13A
CAMK2D	CAMK2D
ERFE	ERFE
CBWD6	CBWD6
SLC25A26	SLC25A26
HNRNPA1P48	HNRNPA1P48
ENSA	ENSA
SPACA7	SPACA7
GSK3A	GSK3A
RNASE3	RNASE3
PAIP2	PAIP2
ABCG4	ABCG4
CASP8	CASP8
NTN4	NTN4
MOGAT3	MOGAT3
KRTAP10-12	KRTAP10-12
NOTCH2NLA	NOTCH2NLA
RPS7	RPS7
GAA	GAA
TNFAIP8L2	TNFAIP8L2
SELENOO	SELENOO
ATP2A3	ATP2A3
DNAJC5B	DNAJC5B
MMP8	MMP8
USP17L24	USP17L24
CEP68	CEP68
CELA3B	CELA3B
MICALL1	MICALL1
ZFYVE21	ZFYVE21
TUBG1	TUBG1
CCDC126	CCDC126
FP565260.4	FP565260.4
SCN11A	SCN11A
AC024580.1	AC024580.1
NOSTRIN	NOSTRIN
KRTAP9-7	KRTAP9-7
TTYH3	TTYH3
CT47A11	CT47A11
TMEM186	TMEM186
ILVBL	ILVBL
CALU	CALU
ANKRD65	ANKRD65
DYNC1LI1	DYNC1LI1
WRB	WRB
TKT	TKT
KRT6C	KRT6C
HELB	HELB
OR4A47	OR4A47
MTA1	MTA1
RPL13	RPL13
OR5A1	OR5A1
P3H4	P3H4
SPATS2L	SPATS2L
ANKRD44	ANKRD44
PIGZ	PIGZ
CLECL1	CLECL1
AC022498.1	AC022498.1
RGS13	RGS13
APOBEC3C	APOBEC3C
LRFN5	LRFN5
HOXB2	HOXB2
TCOF1	TCOF1
MAN1A2	MAN1A2
SLC13A5	SLC13A5
CD226	CD226
TNFRSF19	TNFRSF19
GATA3	GATA3
CABP1	CABP1
MRPL48	MRPL48
B4GALT7	B4GALT7
TBC1D24	TBC1D24
RPS4Y2	RPS4Y2
SYTL4	SYTL4
ZNF630	ZNF630
WDR62	WDR62
TCHHL1	TCHHL1
TAF9B	TAF9B
FAM206A	FAM206A
ANKRD12	ANKRD12
ZNF879	ZNF879
GBP2	GBP2
ZSCAN21	ZSCAN21
PAICS	PAICS
GYPE	GYPE
TAC4	TAC4
ZFP92	ZFP92
CTXND1	CTXND1
FBXO47	FBXO47
PRPF40A	PRPF40A
ARRDC4	ARRDC4
TMPRSS11F	TMPRSS11F
PRELID3A	PRELID3A
SMCHD1	SMCHD1
OR1A2	OR1A2
ADM2	ADM2
KCNA1	KCNA1
DPH5	DPH5
OAF	OAF
CHCHD3	CHCHD3
KCTD3	KCTD3
CHTF8	CHTF8
VPS37A	VPS37A
PIPOX	PIPOX
FBXO48	FBXO48
IRS1	IRS1
RAB40B	RAB40B
OOSP4B	OOSP4B
SPTLC1	SPTLC1
ZNF257	ZNF257
CTTN	CTTN
VAMP3	VAMP3
PEMT	PEMT
LACC1	LACC1
AZIN2	AZIN2
PAX9	PAX9
DECR2	DECR2
PPFIBP1	PPFIBP1
AP000350.4	AP000350.4
LRRC3	LRRC3
SUPT6H	SUPT6H
BAK1	BAK1
IL12RB2	IL12RB2
BORA	BORA
PDC	PDC
PURA	PURA
DNM3	DNM3
CELSR1	CELSR1
USP17L22	USP17L22
MTHFR	MTHFR
SOX9	SOX9
BEGAIN	BEGAIN
GP9	GP9
ETF1	ETF1
FAM104A	FAM104A
ZNF502	ZNF502
TCF7	TCF7
DDC	DDC
ZNF449	ZNF449
AC022506.1	AC022506.1
DPP7	DPP7
OR5K1	OR5K1
ADAMTSL2	ADAMTSL2
SLC35B4	SLC35B4
C5orf46	C5orf46
HRASLS2	HRASLS2
EHHADH	EHHADH
PKD1	PKD1
TBX22	TBX22
REEP6	REEP6
PGA5	PGA5
TRMT2A	TRMT2A
AADAC	AADAC
DPH3	DPH3
ANKHD1-EIF4EBP3	ANKHD1-EIF4EBP3
AK2	AK2
PPP1R14A	PPP1R14A
SP110	SP110
EPHX3	EPHX3
PCSK9	PCSK9
COL17A1	COL17A1
PARP9	PARP9
C19orf85	C19orf85
ZNF570	ZNF570
ZFPL1	ZFPL1
EDDM3A	EDDM3A
UPF3B	UPF3B
ATP6V0E1	ATP6V0E1
CAT	CAT
ACOT6	ACOT6
RWDD4	RWDD4
AC002094.3	AC002094.3
HSPB9	HSPB9
STARD4	STARD4
PCDHB5	PCDHB5
FGD1	FGD1
SNORC	SNORC
IFT172	IFT172
CRABP1	CRABP1
ST8SIA6	ST8SIA6
PPM1E	PPM1E
APOL6	APOL6
TTC30B	TTC30B
GK2	GK2
EMILIN1	EMILIN1
ZFP69B	ZFP69B
SLC22A25	SLC22A25
NUMA1	NUMA1
EFCAB5	EFCAB5
KRTAP20-4	KRTAP20-4
TSHR	TSHR
POLD3	POLD3
NCKAP1	NCKAP1
SEPHS1	SEPHS1
SNF8	SNF8
OTUD6B	OTUD6B
C10orf120	C10orf120
SMTNL2	SMTNL2
RNGTT	RNGTT
TEX45	TEX45
Z83844.3	Z83844.3
AMN1	AMN1
CA7	CA7
ELK4	ELK4
AL360181.3	AL360181.3
PSG9	PSG9
SEMA5A	SEMA5A
IGF2BP2	IGF2BP2
RPL41	RPL41
COMMD3-BMI1	COMMD3-BMI1
CD37	CD37
EFHC2	EFHC2
HSPA8	HSPA8
PRMT8	PRMT8
USP25	USP25
IL1RAP	IL1RAP
ARMC4	ARMC4
KCNE4	KCNE4
TMEM99	TMEM99
ADH4	ADH4
DNHD1	DNHD1
MMAA	MMAA
AKAP12	AKAP12
SLC22A3	SLC22A3
RNF208	RNF208
ENOX2	ENOX2
NCAPD3	NCAPD3
IFNL4	IFNL4
PKLR	PKLR
GSDMD	GSDMD
SFXN1	SFXN1
TIMM23B	TIMM23B
NEK2	NEK2
TP53TG3D	TP53TG3D
DEFB127	DEFB127
H2AFZ	H2AFZ
ZBTB7B	ZBTB7B
CDC73	CDC73
TACC2	TACC2
FZR1	FZR1
AL357673.1	AL357673.1
MSMP	MSMP
CD8B	CD8B
TBXT	TBXT
UTP25	UTP25
FDFT1	FDFT1
NEK1	NEK1
NFIB	NFIB
SNRNP40	SNRNP40
RNF130	RNF130
ASNSD1	ASNSD1
SULT4A1	SULT4A1
IGLL1	IGLL1
PSAPL1	PSAPL1
ECPAS	ECPAS
PRTN3	PRTN3
ACAT1	ACAT1
KBTBD3	KBTBD3
RD3	RD3
S1PR5	S1PR5
MT-ND2	MT-ND2
UBAP1	UBAP1
MC2R	MC2R
HES1	HES1
H1FX	H1FX
ADAM33	ADAM33
RNF215	RNF215
CCDC175	CCDC175
LDLRAD2	LDLRAD2
GLYR1	GLYR1
ARL14EP	ARL14EP
FAM110A	FAM110A
COQ10B	COQ10B
CATSPER1	CATSPER1
RSU1	RSU1
TMEM198	TMEM198
PUDP	PUDP
C19orf44	C19orf44
NQO1	NQO1
C20orf204	C20orf204
UBD	UBD
PRR30	PRR30
SSMEM1	SSMEM1
AC016251.1	AC016251.1
KCNF1	KCNF1
CBX8	CBX8
MOAP1	MOAP1
SYNDIG1	SYNDIG1
AC011455.2	AC011455.2
CNIH3	CNIH3
ACOT4	ACOT4
C11orf21	C11orf21
NUSAP1	NUSAP1
BRINP3	BRINP3
C14orf177	C14orf177
DSC1	DSC1
TIMM10B	TIMM10B
HTRA2	HTRA2
SH3GL3	SH3GL3
AC073111.5	AC073111.5
TMEM184B	TMEM184B
IFNA6	IFNA6
ZNF234	ZNF234
AC118549.1	AC118549.1
AL360181.1	AL360181.1
WNT10A	WNT10A
ASF1A	ASF1A
NOL11	NOL11
GRSF1	GRSF1
LCE6A	LCE6A
SPANXB1	SPANXB1
PHLPP2	PHLPP2
HLA-DRB5	HLA-DRB5
ZNF823	ZNF823
IMMP1L	IMMP1L
ESCO1	ESCO1
CPM	CPM
OR56A3	OR56A3
PTPDC1	PTPDC1
SPATA31A6	SPATA31A6
