	tsp_mRNA
MPST	MPST
OR10A5	OR10A5
SH3GLB2	SH3GLB2
C11orf65	C11orf65
GDPD1	GDPD1
GJB3	GJB3
CD3E	CD3E
DDX60L	DDX60L
DCHS2	DCHS2
S100A11	S100A11
GDPD2	GDPD2
ANP32B	ANP32B
CCDC168	CCDC168
AK6	AK6
CCDC3	CCDC3
RPS4Y1	RPS4Y1
OR2F1	OR2F1
NRSN2	NRSN2
PLA2G1B	PLA2G1B
ZBTB3	ZBTB3
TCEAL6	TCEAL6
BCL6	BCL6
ZNF839	ZNF839
PDE10A	PDE10A
CEP55	CEP55
XRN1	XRN1
KRTAP5-6	KRTAP5-6
TXNL4A	TXNL4A
ATXN3L	ATXN3L
ABCB1	ABCB1
GSTA5	GSTA5
NDFIP1	NDFIP1
PHB2	PHB2
SEC14L5	SEC14L5
TGM3	TGM3
DKKL1	DKKL1
KAT14	KAT14
SHISA3	SHISA3
MT-ND5	MT-ND5
RBPMS	RBPMS
SEMA6B	SEMA6B
PLPP1	PLPP1
MVB12A	MVB12A
SCYGR1	SCYGR1
TPST2	TPST2
CTSW	CTSW
VIPR2	VIPR2
CAMKK2	CAMKK2
LILRA4	LILRA4
DDHD1	DDHD1
NUDT5	NUDT5
FANCL	FANCL
GCDH	GCDH
SP1	SP1
IDO1	IDO1
TENT5C	TENT5C
GTF3C3	GTF3C3
ATP6V1D	ATP6V1D
AP003041.2	AP003041.2
EPS8	EPS8
IL36A	IL36A
IGF2R	IGF2R
UNC13C	UNC13C
DHFR2	DHFR2
DEFB126	DEFB126
SSTR4	SSTR4
ANKRD42	ANKRD42
INTS10	INTS10
ABCF3	ABCF3
PAGR1	PAGR1
MED20	MED20
RTP1	RTP1
MED21	MED21
AC243967.1	AC243967.1
IRX5	IRX5
TCEAL9	TCEAL9
ELAVL3	ELAVL3
UBE2Q2	UBE2Q2
OGFOD2	OGFOD2
CYP2C8	CYP2C8
TSLP	TSLP
PPY	PPY
DEUP1	DEUP1
SPA17	SPA17
EVPLL	EVPLL
TMEM214	TMEM214
FASTKD5	FASTKD5
AC007326.4	AC007326.4
CSNK1G3	CSNK1G3
POFUT2	POFUT2
KDR	KDR
KRT74	KRT74
ADPRHL2	ADPRHL2
PLAGL2	PLAGL2
SLC6A20	SLC6A20
C5	C5
INSIG1	INSIG1
FAM240B	FAM240B
METAP2	METAP2
PRR33	PRR33
ATG4D	ATG4D
HECW1	HECW1
SPOCK2	SPOCK2
STN1	STN1
GPR139	GPR139
RANGRF	RANGRF
SIRT6	SIRT6
NSUN4	NSUN4
KRT7	KRT7
SLC12A3	SLC12A3
ARID4B	ARID4B
