	variance
S100A14	0.5864006
PDIA6	0.58495843
HSPH1	0.5839119
CAST	0.58368516
FCGRT	0.5836216
MLANA	0.5819378
EREG	0.58133674
CYTIP	0.58081836
LY6E	0.5800529
ANP32A	0.5765352
GEM	0.5748898
TKT	0.5734282
BIN2	0.57339025
C11orf88	0.57300735
IRAK3	0.5717852
S100A13	0.57040393
ZEB2	0.5701276
CD53	0.5672826
HIST1H1E	0.567
MORF4L1	0.56651735
ERH	0.56476414
DSP	0.5644275
MRC1	0.56410867
NID1	0.56346923
PF4V1	0.55885756
RBMX	0.5583277
SPTBN1	0.5577805
HCLS1	0.55737156
C1orf194	0.5549639
RANBP1	0.55453616
KLRB1	0.5535427
CCSER1	0.5529959
NCF2	0.5519806
MYC	0.5509225
SEC61B	0.5497498
CLDN3	0.5497264
OGN	0.5488734
APLP2	0.5488699
IL1RN	0.548313
ODF3B	0.5477293
PTGS1	0.54772085
NUCB2	0.5460023
EDNRB	0.54571956
ADAMTS1	0.54454297
CSF3	0.5436435
ACKR3	0.54278755
CMTM2	0.54068065
NASP	0.53893846
SEC11C	0.5386102
EDF1	0.53658706
SON	0.53438854
GUK1	0.5327978
DEK	0.53261775
PLEKHO1	0.53239065
GRAP2	0.5323605
VSIG4	0.53140515
MFSD12	0.5300051
MAX	0.529324
ATP6V0E1	0.52836883
ALPL	0.5264431
COMMD6	0.52643937
DYNLT1	0.5263157
ISG20	0.52521634
CCL18	0.5238646
SNRPD1	0.5229546
CCNL1	0.5208167
TBCA	0.52076423
ETFB	0.5205646
TFF1	0.5200894
FUS	0.518928
LAMA2	0.5188078
KNG1	0.51667273
RBM39	0.51543033
TNFAIP2	0.5151473
HIST1H1C	0.51500326
NTS	0.51473314
SOD3	0.5144302
LMOD1	0.5136884
SPINT2	0.5118744
LAD1	0.5113855
CNST	0.51114213
LRRIQ1	0.510606
TMSB15A	0.5088248
CTSC	0.5074319
ILK	0.5061864
TMEM59	0.50544006
ARL6IP5	0.5049196
EFEMP1	0.5046215
IDO1	0.503903
HPD	0.5034258
FAM183A	0.5013052
PTGDS	0.50024694
STK17B	0.4979982
PMEL	0.497849
AQP1	0.4969071
CD48	0.49666741
ALOX5	0.4956931
PYGL	0.493133
SATB1	0.49281663
NR4A2	0.48990288
NDUFA1	0.48912048
KLF4	0.48831642
MMP10	0.4872749
SFRP1	0.48606604
PCSK1N	0.48382327
DDX21	0.48299703
CCL28	0.4825042
LAMTOR5	0.4806392
NFIB	0.4793309
TTC3	0.47835258
C1orf162	0.47676718
PROK2	0.47452918
LYN	0.47391805
RAB27B	0.47369388
RHOG	0.4734539
NDUFA13	0.4733347
CYBB	0.47319612
DCXR	0.47047797
PCBP1	0.46770316
KMT2C	0.46706566
BMX	0.46696806
PTPN18	0.46603978
BSG	0.4652306
MAT1A	0.46428964
FGFR1	0.46188977
H2AFY	0.46132845
NAA38	0.46127492
PNISR	0.46099946
FCGR3A	0.45901722
ZFHX3	0.4588393
VASP	0.4575472
ROMO1	0.45720905
PGK1	0.4560861
RBM3	0.45462078
PARK7	0.454374
HNRNPK	0.45436496
SMC4	0.45404482
TRIM58	0.45350718
GLRX	0.45216504
BNIP3	0.45088777
IGFBP3	0.45054433
APP	0.44949755
FKBP1A	0.44752726
SLC3A2	0.4473802
C9	0.44695672
BCL6	0.44170555
TUBA1C	0.44046715
TMEM176A	0.439098
SMR3B	0.43792874
C9orf16	0.43749583
PARVB	0.4359581
MPC2	0.43548456
LTBP1	0.4338072
BEX1	0.4336738
RAMP1	0.43247402
SYNPO2	0.43232024
SMIM22	0.43046296
IL13RA1	0.43005556
RTN3	0.4295481
GC	0.42806563
CAPZB	0.4278167
CDK6	0.42691028
SYNE1	0.42643538
PGAM1	0.42641652
DEFA4	0.4260108
CRISPLD2	0.42593762
SPRY1	0.42374828
TNC	0.42305547
HCK	0.42300782
YWHAB	0.42215556
MGST2	0.42208895
ARF1	0.42090625
DCLK1	0.42070496
CDC42	0.42024618
MTDH	0.4199236
GABARAPL2	0.41954073
C4orf3	0.41884753
ARID5B	0.41855928
COL4A2	0.417732
HNRNPM	0.4170901
EEF1G	0.41697744
ARRB2	0.41556388
PLAC8	0.41432306
ACSM2B	0.4113963
EMC10	0.4106775
HPGDS	0.40949357
CDA	0.4065349
CYP3A4	0.40578556
SCP2	0.40558484
CRIP2	0.40550777
FKBP8	0.40389085
NDUFA11	0.4035042
ERRFI1	0.40302888
IRF1	0.40250868
PTP4A2	0.40201247
LAMC1	0.4017925
RBX1	0.40039662
SKAP2	0.4002539
AGXT	0.40001947
NCOA4	0.39961374
C9orf116	0.39872327
NBEAL1	0.3983295
SERP1	0.39693657
EIF4A1	0.39689273
AASS	0.39637697
CLEC1B	0.39575085
PODN	0.39484566
VDAC1	0.39364868
H2AFJ	0.3924719
MARCO	0.39102632
CRABP1	0.3908194
MAP1LC3B	0.38929784
CTSH	0.38809693
ACKR1	0.38799852
RASSF6	0.38662964
PSMA4	0.38642222
CLDN7	0.3860902
BHMT2	0.38561586
DDX3X	0.38539857
H1FX	0.38496718
ITM2C	0.38489044
FLT1	0.3840526
ANKRD12	0.38374108
AKAP13	0.38290888
SCARA5	0.38279238
ITGA8	0.3815719
ATP2A3	0.38099763
PTPRE	0.38000622
DDT	0.37908712
NREP	0.37880307
AKR1C3	0.3777605
FBP1	0.37758997
RPL22L1	0.37463894
NDUFC1	0.37353694
AKR1C2	0.3733785
EIF3K	0.3726475
PPP2R5C	0.37202442
AZU1	0.3717008
SELE	0.37157866
CTSK	0.37068677
PGD	0.37032017
IRS2	0.36994907
SLC9A3R2	0.36888465
ENO3	0.36866224
PMAIP1	0.3684317
WDR1	0.3670946
SNRPG	0.36706087
ASS1	0.36691988
CRIP1	0.36683974
ATP6V0B	0.3652531
CCR9	0.3645823
MEST	0.36379835
PRDM1	0.36281532
CAPSL	0.36243817
TGM2	0.3623334
WIPF1	0.36207005
FGFBP2	0.3615216
RASGRP2	0.36143374
ASGR1	0.36031157
P4HB	0.36004686
ATP6V1F	0.35959315
UFC1	0.35911116
RNASET2	0.35910997
PNN	0.3586855
ICAM1	0.35807186
PAGE4	0.35576
MKI67	0.3555217
HNRNPA3	0.35458198
PRMT1	0.3533826
EBI3	0.35335997
TSPAN33	0.3533034
AK4	0.35248187
PRRC2C	0.35053477
POMP	0.34965518
CA2	0.34864038
DLK1	0.34790477
MAFB	0.3461155
RSRP1	0.3455342
EVL	0.34487453
RHOBTB3	0.34453285
CYB5R3	0.34445944
S100B	0.344268
EIF3A	0.34394184
SNAP23	0.34279302
PIK3IP1	0.34241048
FST	0.34068212
MAGED2	0.3405337
EIF3L	0.34032765
GABARAP	0.33987048
HSPB7	0.33967417
RP1	0.33928657
FBXO32	0.33926052
MFAP4	0.33857614
IGSF6	0.33767745
ATP6V1G1	0.33633137
TIMM8B	0.3362381
R3HDM4	0.3361746
CD247	0.33561492
KCTD12	0.33553863
PPA1	0.33520937
SPCS2	0.3351092
BPIFB1	0.3347752
CSH1	0.3342079
SSR2	0.3340104
ANKRD36C	0.33335236
RIOK3	0.33303547
NR3C1	0.3322476
ANO6	0.33212692
ARL6IP1	0.33116674
CNN3	0.33103773
KRT23	0.33051625
FDPS	0.33043906
NCF4	0.32992598
GAMT	0.32990786
PLTP	0.32940564
HIST1H1D	0.32937095
TMC5	0.3293281
LEPROTL1	0.32872456
PTPN12	0.32869926
MAF	0.3286301
PPP1CB	0.3284803
TGFBR3	0.32830542
C5orf49	0.32816708
CAPG	0.32745108
TOP2A	0.32650954
SMPX	0.326036
SYTL3	0.3250345
ACP5	0.3237122
CD226	0.32346523
NCOA7	0.32307008
CMBL	0.32289186
RDX	0.3227697
TWIST2	0.32219672
TIMM13	0.321524
PTGIS	0.3215119
LIFR	0.32105696
ALDH2	0.32096174
ABI3BP	0.3196842
CLIC3	0.31947273
KRT20	0.31794468
CDH2	0.31791544
ARRDC2	0.3171399
FGL2	0.31645328
RSU1	0.3163793
IFI16	0.31614608
IFT57	0.31605688
ATOX1	0.31562048
HNRNPA0	0.31543052
CLEC4E	0.31532273
GMPR	0.31411284
PDLIM3	0.31408015
TACC1	0.31315425
ST13	0.3127687
AQP3	0.31222558
NCK2	0.3104321
SLAMF1	0.3090288
CAPZA2	0.3085124
SEC14L1	0.30840087
EPC1	0.30787474
LYL1	0.3076144
AVIL	0.30656722
IK	0.30592427
NDUFB4	0.3046503
GSTM3	0.30458406
TSTD1	0.30429873
ODC1	0.3039355
GOLGB1	0.30335388
NDUFB7	0.3031559
USP15	0.30286005
TNFSF13B	0.30278805
GOLGA4	0.30224386
PEG10	0.30189145
ACTR3	0.30179393
MEGF9	0.30083692
ISCU	0.30013648
HAMP	0.2998603
CD2	0.29981184
CRYL1	0.29972497
NFIC	0.2988509
TXNDC17	0.29853958
EMX2	0.29677075
HOPX	0.29667518
